unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
8A78B2B0-6400-5CB0-E053-6B04A8C0F504,181152,25/04/2019,LE7 7QJ,T,N,F,20,MERLIN CLOSE,ROTHLEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,B,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-6400-5CB0-E053-6B04A8C0F504/current,
87E1551E-54E5-6405-E053-6C04A8C0B2EE,620000,12/04/2019,LE7 7QW,D,N,F,1,CHOYCE CLOSE,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-54E5-6405-E053-6C04A8C0B2EE/current,
8A78B2AF-BBA9-5CB0-E053-6B04A8C0F504,365000,08/04/2019,LE7 7RQ,D,N,F,6,FURROW CLOSE,ROTHLEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BBA9-5CB0-E053-6B04A8C0F504/current,
87E1551E-5503-6405-E053-6C04A8C0B2EE,169950,11/04/2019,LE7 7SS,T,N,F,53,ARMITAGE DRIVE,ROTHLEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-5503-6405-E053-6C04A8C0B2EE/current,
8F1B26BD-E1F7-53DB-E053-6C04A8C03649,257950,26/04/2019,LE7 7UY,D,Y,F,7,AIRBORNE AVENUE,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E1F7-53DB-E053-6C04A8C03649/current,
8F1B26BD-E20A-53DB-E053-6C04A8C03649,349950,30/04/2019,LE7 7UY,D,Y,F,9,AIRBORNE AVENUE,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E20A-53DB-E053-6C04A8C03649/current,
8F1B26BD-E1F8-53DB-E053-6C04A8C03649,330950,26/04/2019,LE7 7UZ,D,Y,F,2,WOOLDEN WAY,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E1F8-53DB-E053-6C04A8C03649/current,
9DBAD221-EBCE-6EB3-E053-6B04A8C0F257,254950,26/04/2019,LE7 7UZ,D,Y,F,4,WOOLDEN WAY,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/9DBAD221-EBCE-6EB3-E053-6B04A8C0F257/current,
87E1551E-544F-6405-E053-6C04A8C0B2EE,525000,18/04/2019,LE7 9DJ,D,N,F,YORK HOUSE,OAKHAM ROAD,TILTON ON THE HILL,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-544F-6405-E053-6C04A8C0B2EE/current,
8A78B2AF-BDB4-5CB0-E053-6B04A8C0F504,232000,12/04/2019,LE7 9FS,S,N,F,8,FACERS LANE,SCRAPTOFT,LEICESTER,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BDB4-5CB0-E053-6B04A8C0F504/current,
